Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
1995-627536	DEMOLITION	NULL	ISSUED	 	382 FIRST ST	16741005	3/22/1995	3/22/1995	NULL
1995-627599	DEMOLITION	NULL	ISSUED	PERMIT.	300 SPAGNOLI CT	16724033	4/4/1995	1/1/1980	NULL
1995-627667	DEMOLITION	NULL	FINALED	 Int Remodel -111 & 113	300 SECOND ST	16740043	4/17/1995	4/17/1995	4/24/1994
1995-627692	DEMOLITION	NULL	FINALED	 SFD	170 LOS ALTOS AV	16735074	4/20/1995	9/19/1995	4/11/1996
1995-627762	DEMOLITION	NULL	FINALED	 Demo	422 CHERRY AV	16727051	5/2/1995	5/2/1995	6/5/1995
1995-627834	DEMOLITION	NULL	FINALED	 Demo	67 DEL MONTE AV	16717076	5/15/1995	5/15/1995	5/30/1995
1995-627866	DEMOLITION	NULL	FINALED	Building Remodel	138 MAIN ST	16738019	5/18/1995	8/29/1995	11/3/1995
1995-627897	DEMOLITION	NULL	ISSUED	Interior Demo	138 MAIN ST	16738019	5/24/1995	5/24/1995	NULL
1995-627901	DEMOLITION	NULL	FINALED	 SFD	941 BERRY AV	18911070	5/24/1995	7/25/1995	8/27/1996
1995-628029	DEMOLITION	NULL	FINALED	 Demolition	466 TYNDALL ST	17039074	6/16/1995	6/16/1995	4/29/1996
1995-628068	DEMOLITION	NULL	ISSUED	Alteration	1212 S SPRINGER RD	18956014	6/22/1995	6/22/1995	NULL
1995-628202	DEMOLITION	NULL	ISSUED	 T.I.	388 MAIN ST	16739090	7/13/1995	9/5/1995	NULL
1995-628219	DEMOLITION	NULL	FINALED	Add/Remodel	396 FIRST ST	16741044	7/17/1995	9/18/1995	12/12/1996
1995-628243	DEMOLITION	NULL	FINALED	 Demolition	941 BERRY AV	18911070	7/20/1995	1/1/1980	3/8/2000
1995-628298	DEMOLITION	NULL	ISSUED	 	1037 CAMPBELL AV	18946038	8/2/1995	8/2/1995	NULL
1995-628309	DEMOLITION	NULL	ISSUED	 	745 PARMA WY	18942047	8/4/1995	8/4/1995	NULL
1995-628371	DEMOLITION	NULL	ISSUED	 Demolition	22 S SAN ANTONIO RD	16737220	8/16/1995	8/16/1995	NULL
1995-628393	DEMOLITION	NULL	FINALED	Demo	220 W UNIVERSITY AV	17525065	8/18/1995	8/18/1995	4/15/1996
1995-628458	DEMOLITION	NULL	FINALED	Tank Replacement	401 MAIN ST	16741062	8/30/1995	9/15/1995	11/3/1995
1995-628461	DEMOLITION	NULL	ISSUED	 Underground Tanks	401 MAIN ST	16741062	8/31/1995	9/15/1995	NULL
1995-628515	DEMOLITION	NULL	ISSUED	2AM AND 6 AM ON 9/17/95 TO 531 ALICE AVE	1162 MIGUEL AV	31803028	9/11/1995	9/11/1995	NULL
1995-628627	DEMOLITION	NULL	ISSUED	 	1960 SCOTT LN	34226013	10/5/1995	10/5/1995	NULL
1995-628644	DEMOLITION	NULL	ISSUED	 	779 EDGE LN	18918102	10/9/1995	10/9/1995	NULL
1995-628809	DEMOLITION	NULL	FINALED	Int. Demo	1019 N SAN ANTONIO RD	17001031	11/7/1995	11/7/1995	6/4/1996
1995-628890	SFD	ONE-STORY	FINALED	SFD	499 W PORTOLA AV	16719042	11/21/1995	4/26/1996	5/21/1997
1995-628995	DEMOLITION	NULL	FINALED	Restarant	1019 N SAN ANTONIO RD	17001031	12/12/1995	4/25/1996	10/11/1996
1996-629145	DEMOLITION	NULL	FINALED	 Partial Demo	263 DEL MONTE AV	16718028	1/18/1996	1/18/1996	8/22/1996
1996-629273	DEMOLITION	NULL	FINALED	 Demolition	448 TYNDALL ST	17039077	2/16/1996	2/16/1996	3/26/1997
1996-629276	DEMOLITION	NULL	FINALED	Office T.I.	302 MAIN ST	16739080	2/16/1996	2/16/1996	4/9/1996
1996-629288	DEMOLITION	NULL	ISSUED	 	493 SANTA BARBARA DR	17034003	2/20/1996	2/20/1996	NULL
1996-629321	DEMOLITION	NULL	ISSUED	 	234 MT HAMILTON AV	16736005	2/28/1996	2/28/1996	NULL
1996-629369	SFD	TWO-STORY	FINALED	 SFD	1230 THURSTON AV	31804004	3/8/1996	4/18/1996	1/21/1997
1996-629442	DEMOLITION	NULL	ISSUED	 	790 DIXON WY	16720001	3/21/1996	3/21/1996	NULL
1996-629492	DEMOLITION	NULL	ISSUED	 	1380 MIRAVALLE AV	19719087	4/3/1996	4/3/1996	NULL
1996-629689	DEMOLITION	MAIN STRUCTURE	FINALED	 Demo	1230 THURSTON AV	31804004	5/10/1996	5/10/1996	5/27/1997
1996-629699	DEMOLITION	NULL	ISSUED	 	51 N AVALON DR	17030007	5/14/1996	5/14/1996	NULL
1996-629706	DEMOLITION	NULL	ISSUED	 	581 PACO DR	18937072	5/14/1996	5/14/1996	NULL
1996-629760	DEMOLITION	NULL	FINALED	 Swp Demo	270 STRATFORD PL	16731023	5/28/1996	5/28/1996	6/28/1996
1996-629770	DEMOLITION	NULL	FINALED	Demo	108 PEPPER DR	17040053	5/28/1996	5/29/1996	7/19/1996
1996-629904	DEMOLITION	NULL	FINALED	Demo	127 FIRST ST	16739045	6/14/1996	6/21/1996	2/4/2000
1996-629938	DEMOLITION	NULL	FINALED	 Pool Demo	40 SUNKIST LN	17029034	6/20/1996	6/20/1996	7/16/1996
1996-630178	DEMOLITION	NULL	ISSUED	 	464 ORANGE AV	17515035	7/26/1996	7/26/1996	NULL
1996-630193	DEMOLITION	NULL	ISSUED	 	762 EDGE LN	18918082	7/29/1996	7/29/1996	NULL
1996-630232	MULTI FAMILY	CONDOMINIUM	FINALED	Condo	540 GABILAN ST	17038093	8/1/1996	10/31/1996	8/21/1997
1996-630293	DEMOLITION	NULL	FINALED	 Demo	496 FIRST ST	16741061	8/13/1996	8/13/1996	9/6/1996
1996-630372	DEMOLITION	NULL	ISSUED	 	1131 PAYNE DR	19339010	8/23/1996	8/23/1996	NULL
1996-630506	DEMOLITION	NULL	FINALED	Demo	544 GABILAN ST	17038094	9/19/1996	9/19/1996	3/4/1996
1996-630587	DEMOLITION	NULL	ISSUED	Int Demo	400 MAIN ST	16739153	10/2/1996	10/2/1996	NULL
1996-630627	DEMOLITION	NULL	ISSUED	 	35 MT HAMILTON AV	16730049	10/9/1996	10/9/1996	NULL
1996-630663	DEMOLITION	NULL	ISSUED	 	1019 LOMA PRIETA CT	19346008	10/17/1996	10/17/1996	NULL
1996-630697	SFD	ONE-STORY	FINALED	SFD	1265 THURSTON AV	31803070	10/29/1996	9/11/1997	12/2/1998
1996-630888	DEMOLITION	NULL	FINALED	 Demo	1075 FREMONT AV	19340025	12/12/1996	12/12/1996	2/5/1997
1996-630909	DEMOLITION	NULL	FINALED	Int. Demo	881 FREMONT AV	18914080	12/18/1996	12/18/1996	6/11/2004
1997-630945	DEMOLITION	NULL	ISSUED	 	753 SUNSHINE DR	18926038	1/6/1997	1/6/1997	NULL
1997-631005	DEMOLITION	NULL	ISSUED	 	50 OAK ST	16736056	1/22/1997	1/22/1997	NULL
1997-631069	DEMOLITION	NULL	FINALED	 Demo	489 DRACENA LN	17035023	2/6/1997	2/6/1997	2/6/1997
1997-631147	DEMOLITION	NULL	ISSUED	ELECTRICAL.	1035 SEENA AV	18910006	2/24/1997	2/24/1997	NULL
1997-631219	DEMOLITION	NULL	ISSUED	 	282 CHERRY AV	16732054	3/10/1997	3/10/1997	NULL
1997-631232	DEMOLITION	NULL	ISSUED	 	100 MAIN ST	16738058	3/11/1997	3/17/1997	NULL
1997-631270	DEMOLITION	NULL	ISSUED	 	401 ROSITA AV	18950033	3/17/1997	3/17/1997	NULL
1997-631291	DEMOLITION	NULL	ISSUED	 	2111 GRANT RD	31816019	3/19/1997	3/19/1997	NULL
1997-630633	DEMOLITION	NULL	FINALED	 Swp Demo	357 YERBA BUENA AV	16733010	3/27/1997	3/27/1997	4/8/1997
1997-631372	DEMOLITION	NULL	FINALED	 Demo	440 HAWTHORNE AV	18953041	4/1/1997	4/1/1997	12/11/1997
1997-631424	DEMOLITION	NULL	FINALED	 Demo	622 HAWTHORNE AV	18937016	4/11/1997	4/11/1997	2/23/1998
1997-631426	DEMOLITION	NULL	ISSUED	 	1430 RAVENSWOOD DR	19704013	4/11/1997	4/11/1997	NULL
1997-631525	DEMOLITION	NULL	FINALED	 T.I.-Clarke's	680 FREMONT AV	18956014	4/30/1997	6/10/1997	10/31/1997
1997-631596	DEMOLITION	NULL	ISSUED	 	244 MARVIN AV	17027003	5/15/1997	5/15/1997	NULL
1997-631623	DEMOLITION	NULL	ISSUED	 Demo	71 W EDITH AV	16737098	5/21/1997	5/21/1997	NULL
1997-631626	DEMOLITION	NULL	ISSUED	 Demo	227 SOLANA DR	17021077	5/21/1997	5/21/1997	NULL
1997-631715	DEMOLITION	NULL	FINALED	Demolition	1265 THURSTON AV	31803070	6/10/1997	6/10/1997	6/17/1997
1997-631739	DEMOLITION	NULL	FINALED	 Swp Demo	276 MARICH WY	17003054	6/16/1997	6/16/1997	7/10/1997
1997-631833	DEMOLITION	NULL	ISSUED	 Demo	41 CORONADO AV	16729064	7/1/1997	7/1/1997	NULL
1997-631855	DEMOLITION	NULL	FINALED	 Demo	373 HAWTHORNE AV	17028058	7/7/1997	7/7/1997	7/11/1997
1997-631862	DEMOLITION	NULL	ISSUED	 	1181 PAYNE DR	19339005	7/8/1997	7/8/1997	NULL
1997-631898	DEMOLITION	NULL	FINALED	 Demo	177 YERBA BUENA AV	16732031	7/11/1997	7/11/1997	2/1/1999
1997-632089	DEMOLITION	NULL	ISSUED	 Demolition	455 PINE LN	16724041	8/12/1997	8/12/1997	NULL
1997-632113	DEMOLITION	NULL	FINALED	 Swp Demo	975 YORKSHIRE DR	34211060	8/15/1997	8/15/1997	8/29/1997
1997-632125	DEMOLITION	NULL	FINALED	 Demo	149 CUESTA DR	17039087	8/18/1997	8/18/1997	1/5/1999
1997-632191	DEMOLITION	NULL	FINALED	 Demo	206 CHERRY AV	16731011	9/2/1997	9/2/1997	3/23/1999
1997-632224	DEMOLITION	NULL	FINALED	 Demolition	47 VIEW ST	16737010	9/8/1997	9/9/1997	5/30/2001
1997-632235	DEMOLITION	NULL	ISSUED	 	371 SAN LUIS AV	18951045	9/10/1997	9/10/1997	NULL
1997-632286	DEMOLITION	NULL	FINALED	 Demo	135 FREMONT AV	17038067	9/18/1997	9/18/1997	5/20/1999
1997-632291	DEMOLITION	NULL	FINALED	 Swp Demo	1359 CHELSEA DR	19713009	9/22/1997	9/22/1997	10/8/1997
1997-632345	DEMOLITION	NULL	FINALED	 Demo	181 ALVARADO AV	17012004	9/26/1997	9/26/1997	5/27/2003
1997-632381	DEMOLITION	NULL	ISSUED	 	60 CODY LN	17043056	10/3/1997	10/3/1997	NULL
1997-632632	DEMOLITION	NULL	ISSUED	 	121 ANGELA DR	17043038	11/14/1997	11/14/1997	NULL
1997-632735	DEMOLITION	NULL	FINALED	 Demo Pool	451 VALENCIA DR	17047020	12/11/1997	12/11/1997	4/20/1998
1997-632764	DEMOLITION	NULL	ISSUED	 	1260 SAINT JOSEPH	34207108	12/17/1997	12/17/1997	NULL
1997-632769	DEMOLITION	NULL	ISSUED	 	1250 JOSEPH ST	34207109	12/17/1997	12/17/1997	NULL
1997-632779	DEMOLITION	NULL	ISSUED	 Demo	1868 ROBLES RANCH RD	34207122	12/17/1997	12/17/1997	NULL
1998-632866	DEMOLITION	NULL	ISSUED	 Demo	638 PACO DR	18938006	1/21/1998	1/21/1998	NULL
1998-633021	DEMOLITION	NULL	FINALED	 Demo	552 PACO DR	18953019	2/26/1998	2/26/1998	11/15/1999
1998-633065	DEMOLITION	NULL	FINALED	Demo	467 ALICIA WY	17019002	3/5/1998	3/12/1998	1/5/1999
1998-633085	DEMOLITION	NULL	FINALED	 Add/Remodel	473 SANTA BARBARA DR	17034005	3/10/1998	5/4/1998	11/13/1998
1998-633096	DEMOLITION	NULL	ISSUED	 	164 MARVIN AV	17040037	3/12/1998	3/13/1998	NULL
1998-633125	DEMOLITION	NULL	FINALED	 Demo	495 VAN BUREN ST	16720038	3/20/1998	3/23/1998	5/12/1998
1998-633203	DEMOLITION	NULL	FINALED	Demo Preschool	655 MAGDALENA AV	33609023	4/6/1998	4/6/1998	3/14/2007
1998-633254	DEMOLITION	NULL	FINALED	 Swp Demo	1171 BUCKINGHAM DR	19343035	4/21/1998	4/21/1998	1/20/1999
1998-633262	DEMOLITION	NULL	ISSUED	FENCING AROUND THE PROPERTY	816 SANTA RITA AV	16719008	4/22/1998	4/22/1998	NULL
1998-633312	DEMOLITION	NULL	ISSUED	 	816 DIXON WY	16719037	4/28/1998	4/28/1998	NULL
1998-633334	DEMOLITION	NULL	ISSUED	 	736 LINDEN AV	16721032	5/5/1998	5/5/1998	NULL
1998-633391	DEMOLITION	NULL	FINALED	 Demo	1899 GRANGER AV	34242027	5/18/1998	5/18/1998	5/6/1999
1998-633454	DEMOLITION	NULL	ISSUED	 	585 GIRALDA DR	18937013	5/21/1998	5/21/1998	NULL
1998-633466	DEMOLITION	NULL	ISSUED	 	556 CHERRY AV	16727040	5/26/1998	5/26/1998	NULL
1998-633439	DEMOLITION	NULL	ISSUED	 	570 CHERRY AV	16727039	5/26/1998	5/26/1998	NULL
1998-633472	DEMOLITION	NULL	FINALED	 Demo	740 VISTA GRANDE AV	18929067	5/28/1998	5/28/1998	8/11/1998
1998-633569	DEMOLITION	NULL	FINALED	 Demo	1180 PAYNE DR	19338020	6/16/1998	6/16/1998	11/16/1998
1998-633660	DEMOLITION	NULL	ISSUED	 	22 CARRIAGE CT	16728052	6/26/1998	6/26/1998	NULL
1998-633689	DEMOLITION	NULL	ISSUED	UNDERGROUND TANKS	470 S SAN ANTONIO RD	16741053	7/2/1998	7/2/1998	NULL
1998-633832	DEMOLITION	NULL	FINALED	 Demo	574 PANCHITA WY	17015019	7/29/1998	7/29/1998	10/21/1998
1998-633961	DEMOLITION	NULL	ISSUED	 	457 BENVENUE AV	18953087	8/17/1998	8/17/1998	NULL
1998-633924	DEMOLITION	NULL	ISSUED	STRUCTURE	90 CATALINA WY	17012040	8/18/1998	8/18/1998	NULL
1998-633981	DEMOLITION	NULL	FINALED	Demo	584 BENVENUE AV	18938034	8/24/1998	8/24/1998	5/1/2000
1998-633992	DEMOLITION	NULL	FINALED	Demo	418 YERBA SANTA AV	16733002	8/24/1998	8/24/1998	9/16/1998
1998-634049	DEMOLITION	NULL	ISSUED	 Demolition	636 PALM AV	17516084	9/3/1998	9/3/1998	NULL
1998-634055	DEMOLITION	NULL	ISSUED	 Swp Demo-Exp	371 JUANITA WY	16743033	9/9/1998	9/9/1998	NULL
1998-634138	DEMOLITION	NULL	FINALED	Demo/TPP	1335 GRANT RD	19719067	9/17/1998	9/17/1998	10/23/1998
1998-634151	DEMOLITION	NULL	ISSUED	Addition-1999	1174 LOS ALTOS AV	16710099	9/23/1998	3/4/1999	NULL
1998-634190	DEMOLITION	NULL	FINALED	 Demolition 	961 MANOR WY	18913066	9/30/1998	9/30/1998	1/19/2006
1998-634239	DEMOLITION	NULL	FINALED	 Demo	1808 ALFORD AV	31817024	10/8/1998	10/8/1998	10/16/1998
1998-634286	DEMOLITION	NULL	FINALED	 Demolition	141 ALVARADO AV	17012007	10/14/1998	10/14/1998	4/3/2003
1998-634265	DEMOLITION	NULL	ISSUED	 	1049 RUSSELL AV	18911013	10/15/1998	10/15/1998	NULL
1998-634347	DEMOLITION	NULL	ISSUED	"HOUSE, SWIMMING POOLS, SHED"	903 PARMA WY	18942031	11/6/1998	1/1/1980	NULL
1998-634492	DEMOLITION	NULL	FINALED	 Demo	51 OAK ST	16736059	11/25/1998	11/25/1998	12/21/1998
1998-634460	DEMOLITION	NULL	FINALED	Demo	1287 FREMONT AV	19336036	11/30/1998	11/30/1998	1/24/2002
1998-634532	DEMOLITION	NULL	FINALED	 Demo	207 S GORDON WY	17028049	12/8/1998	12/10/1998	11/8/1999
1999-634632	DEMOLITION	NULL	FINALED	 Demo	215 ALVARADO AV	17012002	1/11/1999	1/11/1999	9/13/1999
1999-634718	DEMOLITION	NULL	ISSUED	Demo	96 N SPRINGER RD	18934045	1/25/1999	1/25/1999	NULL
1999-634848	DEMOLITION	NULL	ISSUED	 Demo	538 HARRINGTON AV	18941034	3/1/1999	3/2/1999	NULL
1999-634815	DEMOLITION	NULL	ISSUED	 	1062 MERCEDES AV	16713001	3/2/1999	1/1/1980	NULL
1999-634906	DEMOLITION	NULL	FINALED	Int. Work	253 STATE ST	16739065	3/3/1999	3/3/1999	3/24/1999
1999-634922	DEMOLITION	NULL	ISSUED	 	624 HOLLINGSWORTH DR	17020014	3/10/1999	1/1/1980	NULL
1999-634923	DEMOLITION	NULL	ISSUED	 	624 HOLLINGSWORTH DR	17020014	3/10/1999	3/10/1999	NULL
1999-635004	DEMOLITION	NULL	ISSUED	 Demo	175 CORONADO AV	16732057	3/18/1999	3/18/1999	NULL
1999-635027	DEMOLITION	NULL	ISSUED	STORY	1541 JULIE LN	19716038	4/1/1999	10/22/1999	NULL
1999-635096	DEMOLITION	NULL	ISSUED	COOP	764 LINDEN AV	16721028	4/9/1999	4/9/1999	NULL
1999-635097	DEMOLITION	NULL	FINALED	 Demo	524 ORANGE AV	17515003	4/9/1999	4/9/1999	5/12/1999
1999-635002	DEMOLITION	NULL	ISSUED	**NO FINAL INSPECTION - ADMIN FINAL 5/13/02**	370 SOLANA DR	17021016	4/15/1999	4/15/1999	NULL
1999-635101	DEMOLITION	NULL	ISSUED	 	386 S CLARK AV	18953021	4/20/1999	4/20/1999	NULL
1999-635210	DEMOLITION	NULL	FINALED	 Demo	108 SYLVIAN WY	16729037	5/10/1999	5/10/1999	5/17/1999
1999-635360	DEMOLITION	NULL	ISSUED	 	275 GALLI DR	17025012	5/24/1999	5/24/1999	NULL
1999-635316	DEMOLITION	NULL	FINALED	 Demo	732 PARMA WY	18941020	5/26/1999	5/26/1999	6/15/1999
1999-635306	DEMOLITION	NULL	ISSUED	 	378 MAIN ST	16739088	6/4/1999	6/4/1999	NULL
1999-635410	DEMOLITION	NULL	ISSUED	"BOTTOM, FILL AND COMPACT, CAP GAS."	1023 LEONELLO AV	18919043	6/7/1999	6/7/1999	NULL
1999-635461	DEMOLITION	NULL	ISSUED	 Demo	250 MARVIN AV	17027045	6/14/1999	6/14/1999	NULL
1999-635417	DEMOLITION	NULL	FINALED	 Swp Demo	645 TORWOOD LN	16725004	6/21/1999	6/21/1999	10/26/1999
1999-635457	DEMOLITION	NULL	FINALED	 Demo	717 LINDEN AV	16723117	6/28/1999	1/1/1980	11/12/1999
1999-635588	DEMOLITION	NULL	ISSUED	Demo/Excav	139 CUESTA DR	17039086	7/2/1999	7/2/1999	NULL
1999-635554	DEMOLITION	NULL	FINALED	 Pool Demo	659 KINGSWOOD WY	16723063	7/23/1999	7/23/1999	8/30/1999
1999-635755	DEMOLITION	NULL	ISSUED	 	111 S GORDON WY	17028036	8/3/1999	8/3/1999	NULL
1999-635733	DEMOLITION	NULL	FINALED	Swp Demo	1531 MEDFORD DR	19702027	8/13/1999	8/13/1999	9/15/1999
1999-635743	DEMOLITION	NULL	FINALED	Swp Demo	1990 LAVER CT	34207020	8/16/1999	8/16/1999	8/19/1999
1999-635824	DEMOLITION	NULL	FINALED	 Demo	897 CLINTON RD	18913019	8/17/1999	8/17/1999	11/15/2002
1999-635815	DEMOLITION	NULL	FINALED	Demo	461 VAN BUREN ST	16720035	8/18/1999	8/18/1999	7/13/2005
1999-635782	DEMOLITION	NULL	FINALED	 Swp Demo	1840 DALEHURST AV	31811036	8/23/1999	8/23/1999	9/13/1999
1999-635771	DEMOLITION	NULL	ISSUED	 	625 SPARGUR DR	17020009	8/24/1999	1/1/1980	NULL
1999-635831	DEMOLITION	NULL	FINALED	 Demo	420 VAN BUREN ST	16720027	8/26/1999	8/26/1999	9/15/2000
1999-635861	DEMOLITION	NULL	FINALED	 Pool Demo	662 OAKWOOD CT	18944031	9/1/1999	1/1/1980	9/23/1999
1999-635943	DEMOLITION	NULL	FINALED	Demo	736 ORANGE AV	17518055	9/8/1999	9/8/1999	4/17/2000
1999-635900	DEMOLITION	NULL	FINALED	Int Demo	235 FIRST ST	16739142	9/13/1999	9/13/1999	9/15/1999
1999-636146	DEMOLITION	NULL	FINALED	 Demo	3 ADOBE CREEK WY	17513048	10/20/1999	10/20/1999	4/2/2003
1999-636230	DEMOLITION	NULL	ISSUED	 	2077 CRIST DR	31824051	10/27/1999	10/27/1999	NULL
1999-636252	DEMOLITION	NULL	FINALED	 Demo	1611 EL SERENO CT	31824036	11/3/1999	11/4/1999	12/8/1999
1999-636323	DEMOLITION	NULL	FINALED	 Demo	155 W PORTOLA AV	16717083	11/22/1999	11/22/1999	5/17/2001
1999-636354	DEMOLITION	NULL	FINALED	 Demo	54 VIEW ST	16736028	11/24/1999	1/1/1980	3/3/2000
1999-636343	DEMOLITION	NULL	ISSUED	 	535 HARRINGTON AV	18941031	12/8/1999	12/8/1999	NULL
1999-636488	DEMOLITION	NULL	ISSUED	 	956 STANLEY AV	18911035	12/29/1999	12/29/1999	NULL
2000-636491	DEMOLITION	NULL	FINALED	 Demo	484 PANCHITA WY	17047035	1/5/2000	1/5/2000	5/1/2000
2000-636476	DEMOLITION	NULL	ISSUED	Demo Ph I	240 VALLEY ST	17026040	1/10/2000	1/11/2000	NULL
2000-636579	DEMOLITION	NULL	ISSUED	Demo Ph II	240 VALLEY ST	17026040	1/21/2000	1/21/2000	NULL
2000-636590	DEMOLITION	NULL	ISSUED	Pool Demo	1615 CANDACE WY	31820012	1/27/2000	1/27/2000	NULL
2000-636674	DEMOLITION	NULL	ISSUED	 	1168 ST ANTHONY CT	34238008	1/28/2000	1/28/2000	NULL
2000-636681	DEMOLITION	NULL	FINALED	 Demo	940 SEENA AV	18920004	2/4/2000	1/1/1980	3/7/2000
2000-636695	DEMOLITION	NULL	ISSUED	Demo	634 JAY ST	17032010	2/4/2000	2/4/2000	NULL
2000-636862	DEMOLITION	NULL	FINALED	Demo	4440 EL CAMINO REAL	16711060	3/2/2000	3/2/2000	8/24/2011
2000-636870	DEMOLITION	NULL	FINALED	 Demo	104 SECOND ST	16758003	3/6/2000	3/6/2000	2/21/2002
2000-636796	DEMOLITION	NULL	FINALED	 Demo	1140 PORTLAND AV	19339040	3/13/2000	3/13/2000	3/20/2000
2000-636876	DEMOLITION	NULL	ISSUED	 	1249 CARMEL TR	19343010	3/31/2000	3/31/2000	NULL
2000-636984	DEMOLITION	NULL	ISSUED	 	235 VERANO DR	17021052	3/31/2000	3/31/2000	NULL
2000-636869	DEMOLITION	NULL	FINALED	 Swp Demo	339 HAWTHORNE AV	17028005	4/14/2000	4/14/2000	5/24/2000
2000-637062	DEMOLITION	NULL	FINALED	Demolition	829 LAVERNE WY	16719022	4/19/2000	4/19/2000	5/23/2000
2000-637053	DEMOLITION	NULL	ISSUED	 	1380 MCKENZIE AV	19341043	4/24/2000	4/24/2000	NULL
2000-637109	DEMOLITION	NULL	FINALED	Demo	214 COVINGTON RD	18948037	4/24/2000	1/1/1980	6/5/2000
2000-637119	DEMOLITION	NULL	FINALED	 Demo	306 SOLANA DR	17021020	4/27/2000	4/27/2000	8/24/2005
2000-637100	DEMOLITION	NULL	FINALED	 Demo	600 JAY ST	17032006	4/27/2000	4/27/2000	10/11/2002
2000-637139	DEMOLITION	NULL	ISSUED	 	562 PACO DR	18953020	4/28/2000	4/28/2000	NULL
2000-637142	DEMOLITION	NULL	FINALED	 Swp Demo	540 GUADALUPE DR	16745035	5/3/2000	5/3/2000	5/24/2000
2000-637045	DEMOLITION	NULL	ISSUED	TEMPORARY POWER POLE	490 BENVENUE AV	18952057	5/5/2000	5/5/2000	NULL
2000-637245	DEMOLITION	NULL	FINALED	 Demo	357 YERBA BUENA AV	16733010	5/15/2000	5/15/2000	5/17/2002
2000-637239	DEMOLITION	NULL	ISSUED	 	271 FREMONT AV	18948029	5/23/2000	5/23/2000	NULL
2000-637398	DEMOLITION	NULL	ISSUED	 Demo	261 GALLI DR	17025013	6/8/2000	6/8/2000	NULL
2000-637418	DEMOLITION	NULL	ISSUED	 	1450 MORTON AV	31811022	6/13/2000	6/13/2000	NULL
2000-637450	DEMOLITION	NULL	FINALED	Int. Upgrade	300 SECOND ST	16740043	6/20/2000	7/24/2000	9/18/2001
2000-637451	DEMOLITION	NULL	ISSUED	AND TEMPORARY POWER POLE	64 ALVARADO AV	17015004	6/21/2000	6/21/2000	NULL
2000-637432	DEMOLITION	NULL	ISSUED	 	740 SUNSHINE DR	18926053	6/23/2000	6/23/2000	NULL
2000-637357	DEMOLITION	NULL	FINALED	 Demo	1360 HOLLY AV	19342030	6/23/2000	6/23/2000	10/17/2001
2000-637460	DEMOLITION	NULL	FINALED	 Demo	1436 AURA WY	18914097	6/26/2000	6/26/2000	9/20/2000
2000-637385	DEMOLITION	NULL	ISSUED	 Demo-Inc.	988 N SAN ANTONIO RD	16716045	6/28/2000	6/28/2000	NULL
2000-637512	DEMOLITION	NULL	FINALED	 Demo	755 PARMA WY	18942046	7/12/2000	7/12/2000	8/30/2000
2000-637533	DEMOLITION	NULL	FINALED	 Demo	1235 HERITAGE CT	19338049	7/14/2000	7/14/2000	10/9/2000
2000-637663	DEMOLITION	NULL	ISSUED	 Demolition	460 VAN BUREN ST	16720024	7/24/2000	7/28/2000	NULL
2000-637678	DEMOLITION	NULL	FINALED	 Demo	271 SILVIA DR	18953066	8/2/2000	8/2/2000	9/9/2000
2000-637689	DEMOLITION	NULL	ISSUED	 	1265 PAYNE DR	19339014	8/10/2000	8/10/2000	NULL
2000-637743	DEMOLITION	NULL	FINALED	Demo	486 ALICIA WY	17018036	8/10/2000	8/10/2000	3/25/2003
2000-637766	DEMOLITION	NULL	FINALED	 Demo	411 MUNDELL WY	16714073	8/17/2000	1/1/1980	1/25/2002
2000-637789	DEMOLITION	NULL	FINALED	 Demo	954 RIVERSIDE DR	18942026	8/29/2000	8/29/2000	9/12/2001
2000-637942	SFD	ONE-STORY	FINALED	SINGLE FAMILY DWELLING. 1 STORY	1793 WENRICK CT	31811027	9/19/2000	4/16/2001	7/5/2002
2000-637925	DEMOLITION	NULL	ISSUED	TEMP POWER POLE.	1534 WISTARIA CT	34202020	9/22/2000	9/22/2000	NULL
2000-637968	DEMOLITION	NULL	FINALED	Demolition	121 FIRST ST	16739126	9/25/2000	9/25/2000	4/9/2003
2000-638012	DEMOLITION	NULL	ISSUED	 	1058 PARMA WY	18946009	9/29/2000	9/29/2000	NULL
2000-637916	DEMOLITION	NULL	ISSUED	 	1018 LOMA PRIETA CT	19346006	10/2/2000	10/2/2000	NULL
2000-638066	DEMOLITION	NULL	FINALED	Demo & TPP	852 CARMEL AV	16718088	10/13/2000	10/13/2000	1/2/2002
2000-638129	DEMOLITION	NULL	ISSUED	AND SHED	624 PACO DR	18938004	10/19/2000	10/19/2000	NULL
2000-638111	DEMOLITION	NULL	ISSUED	 Not a permit	370 DISTEL CR	17004052	10/20/2000	1/1/1980	NULL
2000-638057	DEMOLITION	NULL	ISSUED	 	1535 MARLBAROUGH AV	19716001	10/20/2000	10/20/2000	NULL
2000-638125	DEMOLITION	NULL	FINALED	 Pool Demo	400 W PORTOLA AV	16720052	10/25/2000	10/25/2000	5/27/2003
2000-638091	DEMOLITION	NULL	FINALED	 Demolition	107 OSAGE AV	17028022	10/25/2000	10/25/2000	12/12/2000
2000-638126	DEMOLITION	NULL	FINALED	 Demo	162 OSAGE AV	17028012	10/27/2000	10/27/2000	1/4/2001
2000-638144	DEMOLITION	NULL	ISSUED	**ADMIN FINALED - PROJECT NOT INSPECTED**	564 ORANGE AV	17515006	10/31/2000	10/31/2000	NULL
