City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(inventory) for BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Fremont,5892.0,1.1364972375705678,0.9789624975217689,1.0801099908340972,0.857354009214051,0.8935863833305309,0.19280380176510523,0.07067669172932331,0.0,0.05673758865248227,0.09523809523809523,0.06172839506172839,8 / 141,2 / 21,10 / 162
Gilroy,1406.0,,,1.2922794117647058,2.2037617554858935,4.001567398119122,0.11522048364153627,0.16183816183816183,0.0,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,57.0,0.8931746031746032,0.13559322033898305,0.2375,0.058762886597938144,0.19278350515463918,0.43859649122807015,0.4375,,0.08333333333333333,0.06116207951070336,0.03389830508474576,1 / 12,20 / 327,22 / 649
Hayward,2006.0,0.4240359201265239,0.45419103313840153,0.511734693877551,0.6700066800267201,0.9432197728790915,0.24376869391824527,0.32950191570881227,,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183
Healdsburg,241.0,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.35787321063394684,0.029045643153526972,0.040229885057471264,0.0,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
Hercules,739.0,,,1.0835777126099706,0.2716911764705882,0.09338235294117647,0.0,0.0,,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,313.0,0.875,0.972972972972973,0.7825,0.4960380348652932,,0.23003194888178913,0.07216494845360824,,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.358974358974359,0.05,0.058823529411764705,,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,1.235011001421269,1.0493630573248407,0.6947599853426163,0.5489287782281412,0.45136074116965835,0.5833333333333334,0.5770750988142292,1.0,0.0851063829787234,0.21359223300970873,0.1485148514851485,8 / 94,22 / 103,30 / 202
Los Altos,313.0,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,1.0135922330097087,0.04153354632587859,0.03686635944700461,,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57
Los Altos Hills,114.0,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.37359550561797755,0.20175438596491227,0.2,,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.20754716981132076,0.0,0.0,,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,0.8314130434782608,0.3627450980392157,0.14925373134328357,0.05098324836125273,0.06627822286962855,0.5285714285714286,0.3888888888888889,,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
Menlo Park,1089.0,3.80321996234756,2.6919490839653504,1.6625954198473283,0.584092440588465,0.6211010525265771,0.3939393939393939,0.16455696202531644,1.0,0.052884615384615384,0.05405405405405406,0.053061224489795916,11 / 208,2 / 37,13 / 245
Mill Valley,83.0,1.0,1.0,0.6434108527131783,0.43005181347150256,0.49222797927461137,0.012048192771084338,0.012048192771084338,,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,18.0,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,2019.0,0.3724021660276446,0.3373166757197175,0.613677811550152,0.2517456359102244,0.4123441396508728,0.8945022288261516,0.5740740740740741,,0.16666666666666666,0.0,0.07017543859649122,3 / 18,0 / 7,12 / 171
Monte Sereno,42.0,,,0.6885245901639344,1.2727272727272727,1.1515151515151516,0.0,0.0,,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,78.0,0.8,0.8,0.3406113537117904,0.094316807738815,,0.05128205128205128,0.018867924528301886,,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,1779.0,1.868706079548471,0.8459915611814346,1.9170258620689655,1.3790697674418604,1.3372093023255813,0.22540753232152894,0.22949640287769785,0.0,,0.1875,0.1875,0 / 0,15 / 80,15 / 80
Mountain View,2883.0,5.716115452457134,0.729758149316509,0.9853041695146958,0.8964552238805971,0.9909825870646766,0.29136316337148804,0.40733590733590735,0.0,0.2,0.2857142857142857,0.10752688172043011,5 / 25,2 / 7,10 / 93
Napa,955.0,1.106860786272551,1.2407407407407407,1.1437125748502994,0.6744350282485876,0.731638418079096,0.21047120418848167,0.19184652278177458,,0.08108108108108109,0.09523809523809523,0.0707070707070707,3 / 37,4 / 42,7 / 99
Newark,1183.0,0.572086349907158,0.3864628820960699,1.0974025974025974,0.7231051344743277,1.2078239608801955,0.9822485207100592,0.9811659192825112,,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,236.0,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.8109452736318408,0.21610169491525424,0.025974025974025976,0.0,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,19016.0,2.7965034179871067,1.692793266701736,1.2879105993904505,1.7826942908034125,1.1622761788694103,0.24553007993268827,0.02631578947368421,0.96875,,,0.06666666666666667,0 / 0,0 / 0,23 / 345
Oakley,1226.0,0.1,0.1,1.0496575342465753,2.9902439024390244,2.7756097560975608,0.00734094616639478,0.00779896013864818,0.0,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,84.0,,,0.2033898305084746,0.1935483870967742,0.0967741935483871,0.0,0.0,,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,506.0,0.8083333333333332,0.8709677419354839,0.2545271629778672,0.3121529919802591,0.45157310302282544,0.0533596837944664,0.025477707006369428,0.0,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,714.0,0.5210909822866344,0.6004842615012107,0.9583892617449664,0.20266818052795912,0.15242690888447347,0.37675070028011204,0.11046511627906977,,,,0.08139534883720931,0 / 0,0 / 0,7 / 86
Piedmont,42.0,1.0,1.0,0.7,0.711864406779661,0.1864406779661017,0.023809523809523808,0.015625,,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,13.0,1.0,1.0,0.04377104377104377,0.026530612244897958,0.00816326530612245,0.07692307692307693,0.07142857142857142,,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1658.0,1.288964262687667,0.8804034582132565,0.8187654320987654,0.338989981598855,0.23594356982212228,0.36851628468033776,0.018032786885245903,,0.14285714285714285,0.23529411764705882,0.17857142857142858,1 / 7,4 / 17,5 / 28
Pleasant Hill,156.0,,,0.3482142857142857,0.3305084745762712,0.1440677966101695,0.00641025641025641,0.007246376811594203,,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,1617.0,0.8498178709485579,0.8569739952718676,0.7822931785195936,0.5162835249042146,0.5644955300127714,0.4557823129251701,0.20902612826603326,0.04316546762589928,0.25,0.27586206896551724,0.20588235294117646,3 / 12,8 / 29,14 / 68
Portola Valley,65.0,1.2857142857142858,1.2857142857142858,1.015625,0.48148148148148145,0.3111111111111111,0.18461538461538463,0.2,,,0.09210526315789473,0.11538461538461539,0 / 0,7 / 76,9 / 78
Redwood City,1765.0,2.4,2.4,0.6328433130154177,0.5295529552955296,0.30873087308730873,0.013597733711048159,0.0136986301369863,,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,846.0,1.0303255067907617,0.9216477931066931,0.34743326488706366,0.3970222718145361,0.3388298820923109,0.00591016548463357,0.018656716417910446,,,0.017937219730941704,0.017937219730941704,0 / 0,4 / 223,4 / 223
Rio Vista,380.0,0.5164835164835165,0.5164835164835165,1.2709030100334449,0.07535197303192544,0.17251635930993456,0.37105263157894736,0.36910994764397903,,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,1272.0,,,1.4149054505005563,4.184210526315789,2.8651315789473686,0.07075471698113207,0.0014184397163120568,,0.0,0.0,0.02857142857142857,0 / 3,0 / 1,1 / 35
Ross,16.0,,,0.8888888888888888,0.36363636363636365,0.11363636363636363,0.0,0.0,,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,69.0,1.0,1.0,0.6509433962264151,0.21428571428571427,0.09937888198757763,0.3188405797101449,0.1794871794871795,,0.043478260869565216,,0.04697986577181208,1 / 23,0 / 0,7 / 149
San Bruno,248.0,0.8547008547008547,0.4266666666666667,0.21471861471861473,0.4601113172541744,0.29313543599257885,0.12903225806451613,0.05084745762711865,1.0,0.3333333333333333,,0.3333333333333333,2 / 6,0 / 0,2 / 6
San Carlos,511.0,2.09375,1.5897435897435896,0.8573825503355704,0.3634423897581792,0.2709815078236131,0.12133072407045009,0.2328767123287671,,0.01910828025477707,0.05405405405405406,0.022792022792022793,6 / 314,2 / 37,8 / 351
San Francisco,22225.0,4.925755771143126,2.2337234820775422,0.7698569399702102,0.47077887690906395,0.42712194708636064,0.2747806524184477,0.12706270627062707,0.3974960876369327,0.030395913154533844,0.04555638536221061,0.03425961172440046,119 / 3915,61 / 1339,180 / 5254
San Jose,12602.0,0.9540839172402884,0.6953773925604911,0.35923603192702397,0.5560745251060897,0.5457931916392019,0.30558641485478494,0.17504051863857376,,0.06910569105691057,0.084,0.07661290322580645,17 / 246,21 / 250,38 / 496
San Leandro,138.0,0.8333333333333333,0.7142857142857143,0.06034105815478793,0.06920762286860582,0.06469408224674023,0.036231884057971016,0.10204081632653061,,0.0,0.058823529411764705,0.014285714285714285,0 / 53,2 / 34,2 / 140
San Mateo,1504.0,1.453004446168829,1.4197530864197532,0.48516129032258065,0.354226052896032,0.3551681434622448,0.6117021276595744,0.08024691358024691,,0.06666666666666667,0.1,0.05319148936170213,2 / 30,3 / 30,5 / 94
San Pablo,53.0,1.0,1.0,0.11804008908685969,0.06892067620286085,0.10533159947984395,0.018867924528301886,0.03125,,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,221.0,0.125484496124031,0.14925373134328357,0.21946375372393248,0.42015209125475284,0.16920152091254753,0.058823529411764705,0.047619047619047616,,0.125,0.058823529411764705,0.057971014492753624,1 / 8,1 / 17,4 / 69
San Ramon,1719.0,0.8571428571428571,0.8571428571428571,1.2131263232180662,0.39059304703476483,0.08588957055214724,0.010471204188481676,0.013595166163141994,0.0,0.0,0.0,0.005263157894736842,0 / 30,0 / 4,1 / 190
Santa Clara,4125.0,1.9498441406165135,1.1548731642189587,1.0078182262399218,0.6523801992724972,0.6443144077178554,0.2096969696969697,0.1950207468879668,,0.05314009661835749,0.0,0.049773755656108594,11 / 207,0 / 14,11 / 221
Santa Rosa,1650.0,0.1,0.1,0.32461144993114305,1.0891089108910892,2.3735973597359736,0.0006060606060606061,0.0008748906386701663,0.0,,,0.029411764705882353,0 / 0,0 / 0,1 / 34
Saratoga,83.0,,,0.18906605922551253,0.3074074074074074,0.5370370370370371,0.0,0.0,,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,20.0,,,0.25316455696202533,0.11173184357541899,0.061452513966480445,0.0,0.0,,0.0,0.0,0.0,0 / 60,0 / 27,0 / 87
Sebastopol,27.0,0.75,0.6666666666666666,0.225,0.08681672025723473,0.11254019292604502,0.07407407407407407,0.07142857142857142,,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,111.0,0.10256410256410256,0.10256410256410256,0.8102189781021898,0.14415584415584415,0.22857142857142856,0.036036036036036036,0.043478260869565216,,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,1084.0,7.228899229781772,5.436781609195402,0.5815450643776824,0.5002307337332718,0.36963544070143056,0.43634686346863466,0.12698412698412698,,0.12,0.1,0.11428571428571428,3 / 25,1 / 10,4 / 35
Suisun City,83.0,,,0.16435643564356436,0.2213923712990131,0.245398773006135,0.0,0.0,,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,2515.0,0.750873884934055,0.8096280087527352,0.46129860601614087,0.07737509229633276,0.0946652719665272,0.441351888667992,0.22456140350877193,1.0,0.06506849315068493,0.0,0.06333333333333334,19 / 292,0 / 5,19 / 300
Tiburon,19.0,,,0.24358974358974358,0.3877551020408163,0.3469387755102041,0.0,0.0,,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,426.0,0.8,0.6521739130434783,0.38517179023508136,0.4298688193743693,0.425832492431887,0.07042253521126761,0.019230769230769232,,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,1643.0,0.6623706565390537,0.49642857142857144,1.5156826568265682,0.30857241591730333,0.3072577434210032,0.3146682897139379,0.2814294830887045,1.0,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,244.0,1.25,1.0,0.17914831130690162,0.09434071691212008,0.08274144843931842,0.02459016393442623,0.022222222222222223,,,0.01,0.009933774834437087,0 / 0,3 / 300,3 / 302
Walnut Creek,1194.0,1.4235294117647057,1.380952380952381,0.5342281879194631,0.779373368146214,0.7030026109660574,0.048576214405360134,0.00881057268722467,1.0,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,189.0,,,0.42954545454545456,0.15278900565885206,0.12045270816491511,0.09523809523809523,0.2903225806451613,,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,65.0,,,1.0483870967741935,0.23897058823529413,0.15808823529411764,0.12307692307692308,0.12121212121212122,,,0.02631578947368421,0.02631578947368421,0 / 0,7 / 266,7 / 266
Yountville,10.0,0.5,0.5,0.5882352941176471,0.14084507042253522,0.16901408450704225,0.1,0.1,,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
Overall,122067.0,2.4055829355148624,0.9986540623950073,0.6493270918665887,0.4703475022725347,,0.2606683214955721,0.15947478019435446,0.30335820895522386,0.038639281129653404,0.059962049335863375,0.0506031746031746,301 / 7790,316 / 5270,797 / 15750
